word,part_of_speech,definition,example,synonyms
connivance,n,(law) tacit approval of someone's wrongdoing; agreement on a secret plot,,"collusion, secret approval, tacit consent"
consecrate,"a, v","solemnly dedicated to or set apart for a high purpose; appoint to a clerical posts; render holy by means of religious rites; dedicate to a deity by a vow; give entirely to a specific person, activity, or cause",he was ordained in the Church; give one's talents to a good cause; a life consecrated to science; She committed herself to the work of God; a chapel dedicated to the dead of World War II; consecrate your life to the church; the consecrated chapel,"bless, commit, consecrated, dedicate, dedicated, devote, give, hallow, ordain, order, ordinate, sanctify, vow"
constituent,"n, s",something determined in relation to something that includes it; an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system; a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes; an abstract part of something; (grammar) a word or phrase or clause forming part of a larger grammatical construction; constitutional in the structure of something (especially your physical makeup),a component or constituent element of a system; the animal constituent of plankton; two constituents of a musical composition are melody and harmony; needs continued support by constituents to be re-elected; the grammatical elements of a sentence; he wanted to feel a part of something bigger than himself; spare components for cars; I read a portion of the manuscript; humor: an effective ingredient of a speech; jealousy was a component of his character; the smaller component is hard to reach; a key factor in her success,"component, component part, constitutional, constitutive, element, factor, grammatical constituent, ingredient, organic, part, portion"
consummate,"s, v",perfect and complete in every respect; having all necessary qualities; make perfect; bring to perfection; having or revealing supreme mastery or skill; without qualification; used informally as (often pejorative) intensifiers; fulfill sexually,an arrant fool; gross negligence; a consummate artist; a perfect idiot; a double-dyed villain; utter nonsense; stark staring mad; a thoroughgoing villain; a virtuoso performance; consummate happiness; a masterful speaker; a complete coward; a complete gentleman; consummate skill; a masterly performance of the sonata; a consummate performance; masterful technique; a consummate fool; the unadulterated truth; consummate a marriage; pure folly; what a sodding mess,"arrant, complete, double-dyed, everlasting, gross, masterful, masterly, perfect, pure, sodding, staring, stark, thoroughgoing, unadulterated, utter, virtuoso"
contending,v,"maintain or assert; come to terms with; compete for something; engage in a contest; measure oneself against others; be engaged in a fight; carry on a fight; to make the subject of dispute, contention, or litigation; have an argument about something",Militant groups are contending for control of the country; They made do on half a loaf of bread every day; He contended that Communism had no future; the tribesmen fought each other; We got by on just a gallon of gas; Siblings are always fighting; They contested the outcome of the race,"argue, compete, contend, contest, cope, deal, debate, fence, fight, get by, grapple, make do, make out, manage, postulate, repugn, struggle, vie"
contentious,s,"involving or likely to cause controversy; - Tim W.Ferfuson; inclined or showing an inclination to dispute or disagree, even to engage in law suits",a litigious and acrimonious spirit; a style described as abrasive and contentious; a disputatious lawyer; a central and contentious element of the book,"combative, disputatious, disputative, litigious"
contravene,v,"go against, as of rules and laws; deny the truth of",This behavior conflicts with our rules; He ran afoul of the law,"conflict, contradict, infringe, negate, run afoul"
contrite,s,feeling or expressing pain or sorrow for sins or offenses,,"remorseful, rueful, ruthful"
contrition,n,sorrow for sin arising from fear of damnation,,"attrition, contriteness"
convivial,s,occupied with or fond of the pleasures of good company,a woman of convivial nature; a convivial atmosphere at the reunion; he was a real good-time Charlie,good-time
